подача документов;как подать документы;Если у вас есть результаты ЕГЭ, то с 20-го июня до 29 июля, если вы будете сдавать экзамены - до 17-го июля;До какого числа нужно подать документы?;(когда |до как(ой|ого|ая) )?((крайн(ий|яя) )?срок|дат(а|ы)|числ(о|а)|чисел) ((можно|нужно) )?((под|сд)а(чи|ть)|предоставить) (доков|бумаги?|документ(ов|а)|заявлени(й|я))
подача документов;как подать документы;Вам нужно зарегистрироваться на https://ciu.nstu.ru/enrollee_account/registration , перейти по ссылке полученной на адрес электронной почты, заполнить анкету, распечатать ее и приложить сканы анкеты и всех необходимых документов;Как подать документы через сайт?;(как )?(под|сд)ать (документы?|доки|бумаги|заявлени(е|я)) (через |на )?((сайт|портал)е? )?((вуза|универа|университета) )?(нгту|nstu) ?(точка )?(ru|ру)?
подача документов;как подать документы;Позвонить по телефону горячей линии 8-800-  выбрать время посещения и в указанное время прийти по адресу Карла Маркса 20, корпус 2, с документом об образовании (или копией), документом удостоверяющим личность;Как подать документы лично?;(где )?(как )?(под|сд)ать (документы?|доки|бумаги|заявлени(е|я)) (очно|лично|в (вузе|университете|универе|нгту))
подача документов;как подать документы;Скачать бланк заявления, отправить его по почте на адрес (но лучше так не делать);Как подать документы по почте?;(как )?((под|сд)ать|отправить) (документы?|доки|бумаги|заявлени(е|я)) (почтой( россии)?|по почте)
подача документов;как подать документы;Зарегистрироваться на портале gosuslugi.ru выбрать услугу …, и следовать инструкциям на портале. После того как ваше заявление будет рассмотрено вам придет уведомление и с портала Госуслуг и от НГТУ;Как подать документы через Госуслуги?;(как )?(под|сд)ать (документы?|доки|бумаги|заявлени(е|я)) (через |на )?((сайт|портал)е? )?(гос|gos)( |-)?(услуги?|uglugi) ?(точка )?(ru|ру)?
подача документов;как подать документы;Если вы подали заявление в лисном кабинете или лично, то зайти в личный кабинет, скачать бланк заявления заполнить его и прикрепить в разделе личного кабинета… Если подавали на портале Госуслуг, то только подав новое заявление на портале Госуслуг и отозвав старое;Как изменить поданное заявление?;(как )?(поменять|(из|с)менить|(от)?(редактировать|редачить) )(поданн?(ое|ый|ые))? (документы?|доки|бумаги|заявлени(е|я))
подача документов;необходимый перечень документов;Необходим документ удостоверяющий личность (паспорт, свидетельство о рождении, если Вам еще нет 14-ти лет, удостоверение личности), документ об образовании, заявление заполненное в личном кабинете или собственноручно;Какие документы нужны для поступления по общему конкурсу?;(как(ой|ие) )?(документы?|доки|бумаги|заявлени(е|я)) нуж(ен|ны) для (поступления )?(по (общему )?конкурсу)?
подача документов;необходимый перечень документов;Необходим документ удостоверяющий личность (паспорт, свидетельство о рождении, если Вам еще нет 14-ти лет, удостоверение личности), документ об образовании, заявление заполненное в личном кабинете или собственноручно, договор о целевом обучении;Какие документы нужны для целевого приема?;(как(ой|ие) )?(документы?|доки|бумаги|заявлени(е|я)) нуж(ен|ны) для (поступления )?(по|для)? целево(го|му) (поступлени(я|ю)|приём(а|у))
подача документов;необходимый перечень документов;Необходим документ удостоверяющий личность (паспорт, свидетельство о рождении, если Вам еще нет 14-ти лет, удостоверение личности), документ об образовании, заявление заполненное в личном кабинете или собственноручно, ссылка на диплом победителя или призера олимпиады из перечня;Какие документы нужны для приема без экзаменов?;(как(ой|ие) )?(документы?|доки|бумаги|заявлени(е|я)) нуж(ен|ны) для (поступления )?(по|для)? (поступлени(я|ю)|приём(а|у)) без (экзаменов|егэ)
подача документов;необходимый перечень документов;Необходим документ удостоверяющий личность (паспорт, свидетельство о рождении, если Вам еще нет 14-ти лет, удостоверение личности), документ об образовании, заявление заполненное в личном кабинете или собственноручно, документы, подтвержадющие особые права из перечня;Какие документы нужны для приема вне конкурса (особая квота)?;(как(ой|ие) )?(документы?|доки|бумаги|заявлени(е|я)) нуж(ен|ны) для (поступления )?(по|для)? (поступлени(я|ю)|приём(а|у)) (вне конкурс(а|ов)|по (особой )?(квоте|льготе))
подача документов;необходимый перечень документов;Необходим документ удостоверяющий личность , документ об образовании, заверенный перевод документа об образовании, заявление заполненное в личном кабинете или собственноручно;Какие документы нужны иностранным гражданам?;(как(ой|ие) )?(документы?|доки|бумаги|заявлени(е|я)) нуж(ен|ны) (для поступления )?(иностранным (гражданк?ам|гражданинам)|иностран(ц|к)ам|казахстан(ц|к)ам|каза(х|шк)ам)
подача документов;необходимый перечень документов;Для подачи заявления оригиналы документов не требуются. При поступлении нужно представить подлинник документа об образовании в течении учебного года;Нужны ли оригиналы?;(как(ой|ие) )?нуж(ен|ны)(( |-)?ли)? оригинал(ы|ьны(е|й))? (документы?|доки|бумаги|заявлени(е|я))
подача документов;заключить договор на обучение по контракту (или просто договор);Обучение по контракту предусматривает ежесеметровую оплату обучения (https://www.nstu.ru/studies/cost_education/edu_cost), обучающийся платно имеет право по итогам сесии перевестисб на вакантные бюджетные места;Что такое обучение по контракту?;(что такое|как это) обучение ((по|на) )?контракт(е|у)?
подача документов;заключить договор на обучение по контракту (или просто договор);шаблон договора - https://ciu.nstu.ru/documents_pub/download?id=42304, https://ciu.nstu.ru/documents_pub/download?id=42305, https://ciu.nstu.ru/documents_pub/download?id=42306 рекомендуем скачать заполненный договор в личном кабинете;Где можно взять шаблон договора?;(где|как|откуда) ((можно|нужно|могу|можем) )?(взять|найти|скачать) (шаблоны? )?договор(а|ы|ов)?
подача документов;заключить договор на обучение по контракту (или просто договор);заключить и оплатить договор нужно не позднее 10-го сентября, но вы можете сделать это сразу, подав согласие на платное обучение, еще до зачисления;До какого числа нужно заключить договор?;(когда |до как(ой|ого|ая) )?((крайн(ий|яя) )?срок|дат(а|ы)|числ(о|а)|чисел) (подписать|заключить|(под|сд)ать) договор (на )?((контракт(ное)?|платное)( обучение)?)?
подача документов;заключить договор на обучение по контракту (или просто договор);Если вам нет 18-ти лет, то договор заключается с одним из родителей, кроме того после оплаты можно получить налоговый вычет. Если вам есть 18 лет, то договор можете заключить вы непосредственно. Также может быть заключен трехсторонний договор с предприятием. Договор можно заключить из личного кабинета.;Кто и как заключает договор?;(кто|как) (должен )?(подпис(ыв)?ае?ть?|заключ(ае?|и)ть?) договор (на )?((контракт(ное)?|платное)( обучение)?)?
подача документов;заключить договор на обучение по контракту (или просто договор);Оплатить можно - из личного кабинета картой, банковским переводом, в отделении банка Левобережный в  1-м корпусе НГТУ. Также есть программы образовательных кредитов и оплата материнским капиталом;Как можно оплатить (мат. Капитал, оплата онлайн, образовательный кредит)?;(как|где|через что)? ((можно|нужно|лучше|следует) )?(о|за)платить (за )?((контрактное|платное) )?обучение
подача документов;как подать согласие;"согласие подается из личного кабинета в разделе ""согласие""";Где можно взять шаблон согласия?;(где|как|откуда) ((можно|нужно|могу|можем) )?(взять|найти|скачать) (шаблон )?согласи(е|я)( на зачисление)?
подача документов;как подать согласие;согласие на целевые места, без вступительных испытаний, особую квоту нужно подать не позднее 18-00 4 августа. По общему конкурсу - не позднее 18-00 11 августа (время новосибирское). Согласие подается через личный кабинет;До какого числа нужно подать согласие?;(когда |до как(ой|ого|ая) )?((крайн(ий|яя) )?срок|дат(а|ы)|числ(о|а)|чисел) ((можно|нужно) )?((под|сд)а(чи|ть)|предоставить) согласи(е|я)( на зачисление)?
подача документов;как подать согласие;одновременно можно подать одно согласие (на одну конкурсную группу) на бюджетные места и одно на платные места ( возможно не на другую конкурсную группу);Сколько согласий одновременно можно подать?;(сколько|(как )?много) согласи(е|й|я) ((од|еди)новременно|(в )?(одно время|один момент( времени)?) ) (можно|разрешено|нужно) (под|сд)ать
подача документов;как подать согласие;да можно подавать новое согласие. которое заменит текущее. Сделать это можно из личного кабинета. Максимальное число изменений согласия?;Можно ли менять поданное согласие?;можно(( |-)?ли)? (поменять|(из|с)менить|(от)?(редактировать|редачить) )(поданн?(ое|ый|ые))? согласи(е|я)( (на )?зачисление)
подача документов;как подать согласие;Если заявление подано в НГТУ (лично или в личном кабинете), то согласие можно подать в личном кабинете, выбрав конкурсную группу и прикрепив скан. Если заявление подано на госуслугвх, то согласие можно подать только на госуслугвх. Согласие на платные места можно подать только через личный кабинет НГТУ;Как подать согласие?;(как )?(под|сд)ать согласи(е|я)( (на )?зачисление)
календарь приёма;основные даты;20 июня 2021г.;Когда начинается прием документов?;(когда |с как(ой|ого|ая) )?(дат(а|ы)|числ(о|а)) нач(инается|ал(а|о)) приема? (док(умент(а|ов|ы)|ов)|бумаг)
календарь приёма;основные даты;"17 июля — завершение приема документов, необходимых для поступления, от лиц, поступающих на обучение по результатам вступительных испытаний, проводимых университетом самостоятельно; 29 июля — завершение приема документов, необходимых для поступления, от лиц, поступающих на обучение по результатам единого государственного экзамена (ЕГЭ), а также без прохождения вступительных испытаний.";Когда заканчивается прием документов?;(когда |до как(ой|ого|ая) )?(дат(а|ы)|числ(о|а)) ((за|о)канчивается|завершается|кончается) приема? (док(умент(а|ов|ы)|ов)|бумаг)
календарь приёма;основные даты;"До 17 июля лицам, поступающим на обучения по результатам ВИ, проводимых ВУЗом; до 29 июля поступающим по материалам ЕГЭ или поступающим БВИ";До какого числа можно вносить изменения в заявление?;((до )?како(го|й) (числа|дня|даты)|когда) можно (вносить изменения|(из|по)?мен(я|и)ть) (в )?(заявлени(я|е)|доки|бумаги|документы?)
